property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,110.0,187230.85,-9.6443051,-35.7088142,Alagoas
apartment,Northeast,65.0,81133.37,-9.6430934,-35.70484,Alagoas
house,Northeast,211.0,154465.45,-9.6227033,-35.7297953,Alagoas
apartment,Northeast,99.0,146013.2,-9.622837,-35.719556,Alagoas
apartment,Northeast,55.0,101416.71,-9.654955,-35.700227,Alagoas
apartment,Northeast,56.0,75727.07,-9.614414,-35.735621,Alagoas
apartment,Northeast,68.0,110916.18,-9.584755,-35.662909,Alagoas
apartment,Northeast,187.0,249641.14,-9.658285,-35.703827,Alagoas
apartment,Northeast,90.0,115459.02,-9.66082,-35.702976,Alagoas
apartment,Northeast,137.0,361979.65,-9.6637998,-35.7115455,Alagoas
apartment,Northeast,101.0,131061.59,-9.661504,-35.702961,Alagoas
house,Northeast,140.0,99856.45,-9.697809,-35.893414,Alagoas
apartment,Northeast,250.0,466625.47,-9.629426,-35.69973,Alagoas
apartment,Northeast,136.0,162941.08,-9.64956,-35.73711,Alagoas
apartment,Northeast,145.0,200197.52,-9.6608,-35.705772,Alagoas
apartment,Northeast,138.0,188295.26,-9.649588,-35.708401,Alagoas
apartment,Northeast,175.0,405666.85,-9.650917,-35.706558,Alagoas
apartment,Northeast,122.0,187230.85,-9.658275,-35.705242,Alagoas
apartment,Northeast,98.0,118579.54,-9.66082,-35.702976,Alagoas
apartment,Northeast,107.0,183069.25,-9.661148,-35.700417,Alagoas
apartment,Northeast,68.0,86366.47,-9.638323,-35.74342,Alagoas
apartment,Northeast,118.0,199559.38,-9.658285,-35.703827,Alagoas
apartment,Northeast,205.0,106050.67,-9.66356,-35.73373,Alagoas
apartment,Northeast,130.0,209074.45,-9.659634,-35.705776,Alagoas
apartment,North,93.0,148349.22,0.0204232,-51.0695784,Amapá
apartment,North,117.0,249641.14,-3.097695,-60.057747,Amazonas
house,North,110.0,118579.54,-3.0782332,-60.0047424,Amazonas
house,North,80.0,78012.85,-3.047664,-59.999931,Amazonas
house,Northeast,138.0,93615.42,-12.977729,-38.5093,Bahia
house,Northeast,202.0,154465.45,-12.852844,-38.32711,Bahia
apartment,Northeast,120.0,87374.39,-12.993305,-38.45739,Bahia
house,Northeast,202.0,154465.45,-12.852844,-38.32711,Bahia
apartment,Northeast,82.0,87374.39,-12.993305,-38.45739,Bahia
apartment,Northeast,88.0,168507.77,-12.964468,-38.417938,Bahia
house,Northeast,202.0,154465.45,-12.852844,-38.32711,Bahia
apartment,Northeast,127.0,202833.42,-12.985207,-38.456074,Bahia
house,Northeast,240.0,374461.71,-13.010818,-38.48336,Bahia
apartment,Northeast,139.0,202521.37,-12.96049,-38.405239,Bahia
apartment,Northeast,139.0,205641.88,-12.96049,-38.405239,Bahia
apartment,Northeast,139.0,327341.94,-12.96049,-38.405239,Bahia
house,Northeast,191.0,131061.59,-12.930742,-38.365299,Bahia
apartment,Northeast,84.0,109217.99,-12.477871,-38.126591,Bahia
apartment,Northeast,57.0,93303.37,-12.939807,-38.367931,Bahia
apartment,Northeast,182.0,468077.13,-13.004878,-38.532276,Bahia
apartment,Northeast,115.0,205953.94,-12.993305,-38.45739,Bahia
apartment,Northeast,105.0,106097.48,-12.996323,-38.481049,Bahia
apartment,Northeast,108.0,102976.97,-12.477871,-38.126591,Bahia
apartment,Northeast,72.0,143408.53,-12.965071,-38.435036,Bahia
apartment,Northeast,54.0,121388.0,-12.985207,-38.456074,Bahia
apartment,Northeast,55.0,89558.75,-12.985207,-38.456074,Bahia
apartment,Northeast,70.0,154465.45,-12.985207,-38.456074,Bahia
apartment,Northeast,107.0,190351.36,-13.000443,-38.45739,Bahia
apartment,Northeast,186.0,414965.98,-13.009664,-38.486431,Bahia
apartment,Northeast,90.0,177025.52,-12.964468,-38.417938,Bahia
apartment,Northeast,55.0,98296.19,-12.971756,-38.438103,Bahia
apartment,Northeast,225.0,390064.28,-13.002785,-38.519222,Bahia
apartment,Northeast,54.0,79573.11,-12.972996,-38.47842,Bahia
apartment,Northeast,225.0,254587.15,-13.000443,-38.45739,Bahia
